Cow Liveweight Data (Example 2 of Smith, Min, Almeida & Czado)

Source: Diggle, P., K. Liang & S. Zeger (1994) Analysis of Longitudinal Data, Oxford, UK: Clarendon Press, p.100.
 
See also: Smith, M. & R. Kohn (2002) `Parsimonious Covariance Matrix Estimation for Longitudinal Data', JASA, 91, 460, pp.1141-1153.

Response is log-liveweight
Covariates include 4 treatment dummies (d1-d4) and products with t & t^2.

Log_Liveweight, d1, d2, d3, d4, d1*t, d2*t, d3*t, d4*t, d1*t^2, d2*t^2, d3*t^3, d4*t^2
0.0953101798043249 1 0 0 0 0 0 0 0 0 0 0 0
0.300104592450338 1 0 0 0 0.028 0 0 0 0.000784 0 0 0
0.405465108108164 1 0 0 0 0.044 0 0 0 0.001936 0 0 0
0.470003629245736 1 0 0 0 0.057 0 0 0 0.003249 0 0 0
0.53062825106217 1 0 0 0 0.097 0 0 0 0.009409 0 0 0
0.559615787935423 1 0 0 0 0.125 0 0 0 0.015625 0 0 0
0.693147180559945 1 0 0 0 0.154 0 0 0 0.023716 0 0 0
0.717839793150317 1 0 0 0 0.174 0 0 0 0.030276 0 0 0
0.810930216216329 1 0 0 0 0.202 0 0 0 0.040804 0 0 0
0.832909122935104 1 0 0 0 0.232 0 0 0 0.053824 0 0 0
0.936093359170335 1 0 0 0 0.258 0 0 0 0.066564 0 0 0
1.04731899428056 1 0 0 0 0.323 0 0 0 0.104329 0 0 0
1.08180517035173 1 0 0 0 0.356 0 0 0 0.126736 0 0 0
1.1314021114911 1 0 0 0 0.386 0 0 0 0.148996 0 0 0
1.20896034583698 1 0 0 0 0.414 0 0 0 0.171396 0 0 0
1.19392246847243 1 0 0 0 0.447 0 0 0 0.199809 0 0 0
1.17865499634165 1 0 0 0 0.477 0 0 0 0.227529 0 0 0
1.23837423104327 1 0 0 0 0.505 0 0 0 0.255025 0 0 0
1.28093384546206 1 0 0 0 0.533 0 0 0 0.284089 0 0 0
1.30833281965018 1 0 0 0 0.546 0 0 0 0.298116 0 0 0
1.37371557891303 1 0 0 0 0.601 0 0 0 0.361201 0 0 0
1.32175583998232 1 0 0 0 0.629 0 0 0 0.395641 0 0 0
1.33500106673234 1 0 0 0 0.659 0 0 0 0.434281 0 0 0
0.262364264467491 1 0 0 0 0 0 0 0 0 0 0 0
0.470003629245736 1 0 0 0 0.028 0 0 0 0.000784 0 0 0
0.587786664902119 1 0 0 0 0.044 0 0 0 0.001936 0 0 0
0.615185639090233 1 0 0 0 0.057 0 0 0 0.003249 0 0 0
0.693147180559945 1 0 0 0 0.097 0 0 0 0.009409 0 0 0
0.810930216216329 1 0 0 0 0.125 0 0 0 0.015625 0 0 0
0.8754687373539 1 0 0 0 0.154 0 0 0 0.023716 0 0 0
0.916290731874155 1 0 0 0 0.174 0 0 0 0.030276 0 0 0
1.01160091167848 1 0 0 0 0.202 0 0 0 0.040804 0 0 0
1.02961941718116 1 0 0 0 0.232 0 0 0 0.053824 0 0 0
1.08180517035173 1 0 0 0 0.258 0 0 0 0.066564 0 0 0
1.16315080980568 1 0 0 0 0.323 0 0 0 0.104329 0 0 0
1.19392246847243 1 0 0 0 0.356 0 0 0 0.126736 0 0 0
1.26694760348732 1 0 0 0 0.386 0 0 0 0.148996 0 0 0
1.28093384546206 1 0 0 0 0.414 0 0 0 0.171396 0 0 0
1.26694760348732 1 0 0 0 0.447 0 0 0 0.199809 0 0 0
1.30833281965018 1 0 0 0 0.477 0 0 0 0.227529 0 0 0
1.3609765531356 1 0 0 0 0.505 0 0 0 0.255025 0 0 0
1.38629436111989 1 0 0 0 0.533 0 0 0 0.284089 0 0 0
1.41098697371026 1 0 0 0 0.546 0 0 0 0.298116 0 0 0
1.48160454092422 1 0 0 0 0.601 0 0 0 0.361201 0 0 0
1.49290409617815 1 0 0 0 0.629 0 0 0 0.395641 0 0 0
1.54756250871601 1 0 0 0 0.659 0 0 0 0.434281 0 0 0
0.262364264467491 1 0 0 0 0 0 0 0 0 0 0 0
0.405465108108164 1 0 0 0 0.028 0 0 0 0.000784 0 0 0
0.53062825106217 1 0 0 0 0.044 0 0 0 0.001936 0 0 0
0.587786664902119 1 0 0 0 0.057 0 0 0 0.003249 0 0 0
0.667829372575655 1 0 0 0 0.097 0 0 0 0.009409 0 0 0
0.717839793150317 1 0 0 0 0.125 0 0 0 0.015625 0 0 0
0.810930216216329 1 0 0 0 0.154 0 0 0 0.023716 0 0 0
0.854415328156068 1 0 0 0 0.174 0 0 0 0.030276 0 0 0
0.916290731874155 1 0 0 0 0.202 0 0 0 0.040804 0 0 0
